LON,LAT,NUMBER,STREET,UNIT,POSTCODE,ID
-73.9338663,40.6932836,1024,DEKALB AVENUE,,11221,3053898
-73.9388332,40.6919521,384,KOSCIUSZKO STREET,,11221,3054026
-73.9396376,40.6783293,12,AGATE COURT,,11213,3067811
-73.9664489,40.6967509,31,HALL STREET,,11205,3067983
-73.9709976,40.6763773,203,STERLING PLACE,,11238,3035833
-73.9774991,40.6681991,548,5 STREET,,11215,3031687
-73.9520402,40.6771121,1135,DEAN STREET,,11216,3037039
-73.9272112,40.6705308,1525,ST JOHNS PLACE,,11213,3045264
-73.93606,40.670128,1219,LINCOLN PLACE,,11213,3045434
-73.9321691,40.6679877,1737,UNION STREET,,11213,3046032
-73.9395684,40.674812,959,ST MARKS AVENUE,,11213,3037984
-73.950821,40.6751019,686,ST MARKS AVENUE,,11216,3038121
-73.963068,40.6901462,369,DEKALB AVENUE,,11205,3069451
-73.9494378,40.6972598,527,MARCY AVENUE,,11206,3060644
-73.947134,40.6973017,149,MARTIN L KING PLACE,,11206,3060652
-73.9466419,40.6957862,903,MYRTLE AVENUE,,11206,3060706
-73.9386389,40.6944826,305,HART STREET,,11206,3053515
-73.9620355,40.6853856,355,GRAND AVENUE,,11238,3071242
-73.9569282,40.6867463,358,FRANKLIN AVENUE,,11238,3071275
-73.9599793,40.6845226,17,IRVING PLACE,,11238,3071885
-73.966263,40.6845193,61,GATES AVENUE,,11238,3070748
-73.964499,40.6847414,99,GATES AVENUE,,11238,3070862
-73.9672212,40.694074,154,WASHINGTON AVENUE,,11205,3068367
-73.9294133,40.6922277,1062,LAFAYETTE AVENUE,,11221,3054510
-73.9387385,40.6904415,186,VAN BUREN STREET,,11221,3054540
-73.9350155,40.6908732,300,VAN BUREN STREET,,11221,3054625
-73.9706747,40.6791168,161,ST MARKS AVENUE,A,11238,3034809
-73.9610934,40.6778161,808,BERGEN STREET,,11238,3034939
-73.9638223,40.6794361,785,DEAN STREET,,11238,3034182
-73.9569076,40.6785733,1082,PACIFIC STREET,,11238,3034248
-73.9745111,40.6811456,58,6 AVENUE,,11217,3034304
-73.9652921,40.6794316,48,UNDERHILL AVENUE,,11238,3034474
-73.9222314,40.6840946,710,MACON STREET,,11233,3049560
-73.920632,40.6842763,754,MACON STREET,,11233,3049585
-73.9515193,40.662452,297,LEFFERTS AVENUE,,11225,3042806
-73.976536,40.6710842,484,1 STREET,,11215,3031211
-73.9192281,40.6797451,235,HOWARD AVENUE,,11233,3051283
-73.9166126,40.6790743,206,SARATOGA AVENUE,,11233,3051540
-73.91754,40.6816536,368,CHAUNCEY STREET,,11233,3050671
-73.9411885,40.6727762,1096,PARK PLACE,,11213,3038968
-73.9504221,40.6722324,772,NOSTRAND AVENUE,,11216,3039210
-73.9755945,40.6735557,826,PRESIDENT STREET,,11215,3030719
-73.9742833,40.673078,866,PRESIDENT STREET,,11215,3030738
-73.9720649,40.6716888,853,CARROLL STREET,,11215,3030819
-73.9351194,40.6661722,1588,CARROLL STREET,,11213,3046603
-73.9218842,40.6873988,979,PUTNAM AVENUE,,11221,3049044
-74.0113601,40.6383133,656,58 STREET,,11220,3020837
-74.0186594,40.6448186,265,56 STREET,,11220,3019409
-74.0159289,40.6435235,5512,4 AVENUE,,11220,3019452
-73.9993383,40.6565542,212,30 STREET,,11232,3013385
-73.9794429,40.6592191,169,WINDSOR PLACE,,11215,3033270
-73.9796256,40.6593071,163,WINDSOR PLACE,,11215,3033273
-73.9845269,40.6614087,30,WINDSOR PLACE,,11215,3033400
-73.9424546,40.6685908,1479,UNION STREET,,11213,3040548
-73.9797356,40.6641874,586,11 STREET,,11215,3032493
-73.9836674,40.6641651,413,7 AVENUE,,11215,3032661
-73.9829449,40.6639476,408,13 STREET,,11215,3032676
-73.9236158,40.6736306,1356,ST MARKS AVENUE,,11233,3044345
-73.9231355,40.673607,1370,ST MARKS AVENUE,,11233,3044351
-73.9530876,40.6615541,287,LINCOLN ROAD,,11225,3043175
-73.9409743,40.6677111,1441,PRESIDENT STREET,,11213,3040977
-73.9533616,40.6674765,265,ROGERS AVENUE,,11225,3041073
-73.9465781,40.6685791,1324,UNION STREET,,11213,3040831
-73.9464354,40.6685722,1328,UNION STREET,,11213,3040833
-73.9537146,40.7251346,123,GUERNSEY STREET,,11222,3084822
-73.975749,40.6886379,33,SOUTH ELLIOTT PLACE,,11217,3074662
-73.9435611,40.680187,1443,FULTON STREET,,11216,3066984
-73.9401745,40.6805502,80,DECATUR STREET,,11216,3067214
-73.9551066,40.7024947,155,HEYWARD STREET,,11211,3077719
-73.9566953,40.7004963,33,LYNCH STREET,,11206,3077844
-73.9567844,40.7004473,31,LYNCH STREET,,11206,3077845
-73.872654,40.6846941,196,CRESCENT STREET,,11208,3125382
-73.8723778,40.6849675,3,ADLER PLACE,,11208,3125457
-73.8948973,40.6801944,30,SUNNYSIDE AVENUE,,11207,3107099
-73.9063385,40.6901463,1253,DECATUR STREET,,11207,3105621
-73.8667655,40.6816897,375,GRANT AVENUE,,11208,3127159
-73.8650828,40.6818637,58,FORBELL STREET,,11208,3127244
-73.864667,40.6813688,81,FORBELL STREET,,11208,3127269
-74.000
