vendor_id,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,rate_code_id,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2016-06-01 00:00:20-04,2016-06-01 00:12:17-04,1,2.78,-73.995468139648438,40.717178344726562,1,N,-73.976837158203125,40.752090454101563,1,11.50,0.50,0.50,2.56,0.00,0.30,15.36
2,2016-06-01 00:00:20-04,2016-06-01 00:18:05-04,3,3.07,-74.007919311523438,40.740409851074219,1,N,-73.972732543945313,40.755321502685547,1,14.00,0.50,0.50,3.06,0.00,0.30,18.36
2,2016-06-01 00:00:20-04,2016-06-01 00:09:54-04,1,2.49,-73.991432189941406,40.729728698730469,1,N,-73.967071533203125,40.757678985595703,1,9.50,0.50,0.50,2.00,0.00,0.30,12.80
2,2016-06-01 00:00:20-04,2016-06-01 00:14:50-04,5,2.19,-73.972862243652344,40.765388488769531,1,N,-73.996162414550781,40.743530273437500,1,11.50,0.50,0.50,2.56,0.00,0.30,15.36
1,2016-06-01 00:00:22-04,2016-06-01 00:10:03-04,1,1.70,-73.967468261718750,40.762840270996094,1,N,-73.948646545410156,40.770626068115234,1,9.00,0.50,0.50,2.05,0.00,0.30,12.35
1,2016-06-01 00:00:22-04,2016-06-01 00:23:37-04,1,9.70,-73.872398376464844,40.774253845214844,1,N,-73.970764160156250,40.679992675781250,1,29.00,0.50,0.50,6.05,0.00,0.30,36.35
2,2016-06-01 00:00:23-04,2016-06-01 00:14:45-04,1,3.04,-73.955360412597656,40.718040466308594,1,N,-73.922142028808594,40.700958251953125,2,12.00,0.50,0.50,0.00,0.00,0.30,13.30
1,2016-06-01 00:00:24-04,2016-06-01 00:05:31-04,2,1.40,-73.910469055175781,40.776332855224609,1,N,-73.890838623046875,40.770645141601563,4,6.50,0.50,0.50,0.00,0.00,0.30,7.80
1,2016-06-01 00:00:24-04,2016-06-01 00:22:41-04,1,16.30,-73.789695739746094,40.646621704101563,2,N,-73.975791931152344,40.744895935058594,1,52.00,0.00,0.50,11.65,5.54,0.30,69.99
2,2016-06-01 00:00:24-04,2016-06-01 00:13:58-04,1,3.18,-73.968727111816406,40.687797546386719,1,N,-73.977905273437500,40.650882720947266,2,12.50,0.50,0.50,0.00,0.00,0.30,13.80
2,2016-06-01 00:00:24-04,2016-06-01 00:31:00-04,5,16.97,-73.789894104003906,40.643764495849609,2,N,-73.951637268066406,40.759574890136719,1,52.00,0.00,0.50,10.56,0.00,0.30,63.36
1,2016-06-01 00:00:25-04,2016-06-01 00:15:01-04,1,3.30,-73.967658996582031,40.762863159179688,1,N,-73.929359436035156,40.767082214355469,1,14.00,0.50,0.50,3.05,0.00,0.30,18.35
2,2016-06-01 00:00:26-04,2016-06-01 00:15:53-04,3,9.86,-73.838562011718750,40.727592468261719,2,N,-73.981414794921875,40.734073638916016,1,52.00,0.00,0.50,8.00,5.54,0.30,66.34
1,2016-06-01 00:00:28-04,2016-06-01 00:10:19-04,1,2.10,-73.962310791015625,40.770282745361328,1,N,-73.987792968750000,40.759105682373047,2,9.00,0.50,0.50,0.00,0.00,0.30,10.30
1,2016-06-01 00:00:29-04,2016-06-01 00:26:42-04,1,7.20,-73.979995727539063,40.779628753662109,1,N,-73.996078491210937,40.691135406494141,2,23.50,0.50,0.50,0.00,0.00,0.30,24.80
2,2016-06-01 00:00:29-04,2016-06-01 00:04:31-04,1,0.97,-73.954162597656250,40.779170989990234,1,N,-73.964332580566406,40.770458221435547,1,5.50,0.50,0.50,1.36,0.00,0.30,8.16
2,2016-06-01 00:00:29-04,2016-06-01 00:20:19-04,1,9.35,-73.870895385742187,40.773696899414063,1,N,-73.943763732910156,40.834426879882813,1,27.50,0.50,0.50,6.87,5.54,0.30,41.21
2,2016-06-01 00:00:30-04,2016-06-01 00:11:31-04,2,1.04,-73.977661132812500,40.761051177978516,1,N,-73.987358093261719,40.755558013916016,1,8.50,0.50,0.50,1.96,0.00,0.30,11.76
2,2016-06-01 00:00:30-04,2016-06-01 00:04:26-04,1,0.49,-73.947662353515625,40.830200195312500,1,N,-73.944740295410156,40.829200744628906,1,4.50,0.50,0.50,1.16,0.00,0.30,6.96
2,2016-06-01 00:00:31-04,2016-06-01 00:14:59-04,2,3.15,-74.010231018066406,40.719768524169922,1,N,-73.986907958984375,40.761219024658203,2,12.00,0.50,0.50,0.00,0.00,0.30,13.30
2,2016-06-01 00:00:31-04,2016-06-01 00:16:33-04,1,3.84,-73.985664367675781,40.744213104248047,1,N,-73.979110717773437,40.786849975585937,2,14.50,0.50,0.50,0.00,0.00,0.30,15.80
2,2016-06-01 00:00:32-04,2016-06-01 00:18:47-04,1,5.92,-74.002479553222656,40.733478546142578,1,N,-73.968360900878906,40.799770355224609,2,19.50,0.50,0.50,0.00,0.00,0.30,20.80
2,2016-06-01 00:00:32-04,2016-06-01 00:12:17-04,5,4.84,-74.011642456054687,40.704601287841797,1,N,-73.972679138183594,40.743518829345703,1,15.50,0.50,0.50,1.00,0.00,0.30,17.80
1,2016-06-01 00:00:33-04,2016-06-01 00:16:59-04,1,7.60,-73.870956420898437,40.773712158203125,1,N,-73.955062866210937,40.804435729980469,1,23.00,0.50,0.50,0.00,5.54,0.30,29.84
2,2016-06-01 00:00:34-04,2016-06-01 00:14:25-04,1,3.46,-73.989326477050781,40.747459411621094,1,N,-73.953010559082031,40.783058166503906,1,13.00,0.50,0.50,2.00,0.00,0.30,16.30
2,2016-06-01 00:00:34-04,2016-06-01 00:13:31-04,5,2.12,-73.964523315429687,40.767189025878906,1,N,-73.989997863769531,40.757289886474609,1,11.00,0.50,0.50,2.46,0.00,0.30,14.76
1,2016-06-01 00:00:34-04,2016-06-01 00:05:04-04,1,0.90,-73.974288940429688,40.756618499755859,1,N,-73.978202819824219,40.745895385742187,1,5.50,0.50,0.50,1.35,0.00,0.30,8.15
1,2016-06-01 00:00:35-04,2016-06-01 00:07:46-04,1,1.70,-73.961631774902344,40.776268005371094,1,N,-73.980445861816406,40.770053863525391,2,8.00,0.50,0.50,0.00,0.00,0.30,9.30
2,2016-06-01 00:00:35-04,2016-06-01 00:05:44-04,1,1.31,-73.981811523437500,40.749019622802734,1,N,-73.990478515625000,40.732891082763672,1,6.50,0.50,0.50,1.00,0.00,0.30,8.80
2,2016-06-01 00:00:35-04,2016-06-01 00:35:05-04,2,18.36,-73.776802062988281,40.645160675048828,1,N,-73.868606567382813,40.824699401855469,2,50.50,0.50,0.50,0.00,5.54,0.30,57.34
1,2016-06-01 00:00:36-04,2016-06-01 00:07:09-04,1,0.70,-73.966056823730469,40.764999389648438,1,N,-73.955108642578125,40.765205383300781,4,6.00,0.50,0.50,0.00,0.00,0.30,7.30
1,2016-06-01 00:00:36-04,2016-06-01 00:17:01-04,1,2.00,-73.985351562500000,40.748943328857422,1,N,-74.001899719238281,40.729541778564453,1,12.00,0.50,0.50,0.00,0.00,0.30,13.30
1,2016-06-01 00:00:38-04,2016-06-01 00:20:00-04,1,7.90,-73.870758056640625,40.773689270019531,1,N,-73.952774047851562,40.823425292968750,1,24.50,0.50,0.50,6.25,5.54,0.30,37.59
1,2016-06-01 00:00:38-04,2016-06-01 00:08:17-04,1,0.50,0.000000000000000,0.000000000000000,1,N,-74.002273559570312,40.739326477050781,1,6.00,0.50,0.50,1.45,0.00,0.30,8.75
2,2016-06-01 00:00:38-04,2016-06-01 00:17:12-04,1,3.84,-73.997703552246094,40.674720764160156,1,N,-73.955772399902344,40.688629150390625,1,15.00,0.50,0.50,0.00,0.00,0.30,16.30
1,2016-06-01 00:00:39-04,2016-06-01 00:15:49-04,1,3.00,-73.990249633789063,40.718925476074219,1,N,-73.991073608398438,40.750133514404297,1,13.00,0.50,0.50,2.85,0.00,0.30,17.15
2,2016-06-01 00:00:39-04,2016-06-01 00:29:48-04,1,20.76,-73.790153503417969,40.646575927734375,2,N,-74.016220092773438,40.704906463623047,1,52.00,0.00,0.50,10.56,0.00,0.30,63.36
1,2016-06-01 00:00:40-04,2016-06-01 00:18:18-04,1,9.00,-74.007095336914063,40.741676330566406,1,N,-73.937965393066406,40.851650238037109,1,26.50,0.50,0.50,4.00,0.00,0.30,31.80
2,2016-06-01 00:00:40-04,2016-06-01 00:25:16-04,1,16.50,-73.789840698242188,40.646656036376953,2,N,-73.974227905273438,40.752941131591797,1,52.00,0.00,0.50,11.67,5.54,0.30,70.01
1,2016-06-01 00:00:41-04,2016-06-01 00:11:44-04,2,2.00,-73.997566223144531,40.721336364746094,1,N,-74.008689880371094,40.738819122314453,1,9.50,0.50,0.50,2.70,0.00,0.30,13.50
1,2016-06-01 00:00:41-04,2016-06-01 00:11:36-04,1,1.80,-73.984451293945313,40.750411987304687,1,N,-73.984283447265625,40.767292022705078,1,9.00,0.50,0.50,2.05,0.00,0.30,12.35
2,2016-06-01 00:00:41-04,2016-06-01 00:22:22-04,1,6.16,-73.939819335937500,40.750549316406250,1,N,-73.952987670898437,40.718521118164062,2,21.00,0.50,0.50,0.00,0.00,0.30,22.30
2,2016-06-01 00:00:41-04,2016-06-01 00:15:25-04,2,2.60,-74.004013061523438,40.742179870605469,1,N,-73.969009399414063,40.750438690185547,2,12.00,0.50,0.50,0.00,0.00,0.30,13.30
2,2016-06-01 00:00:41-04
